Metrics,Train,CV,Test
MSE,1.772,18551.116,1013.019
MAE,0.694,121.647,24.663
RMSE,1.331,136.202,31.828
R2-Score,0.999,-48.653,-0.071
MAPE,1.297,84.104,12.54
